,Date,Ticker,Title,Direction,Direction_Num,Market Cap,Editor-Picks,Author-Followers,Initial-Stock-Price,Current-Stock-Price10,Current-Stock-Price30,Current-Stock-Price90,sp500-Price10,sp500-Price30,sp500-Price90,stock_change10,stock_change30,stock_change90,sp500_change10,sp500_change30,sp500_change90,difference10,difference30,difference90,status10,status30,status90
10,"Jan.  1, 2014  9:00 AM ET",RIG,Transocean: Brighter Days Ahead In 2014,NA,4.00,4927241009.00,2.00,19140.00,45.32,44.97,40.11,38.69,1837.49,1782.59,1885.52,-0.77,-11.50,-14.63,0.30,-2.70,2.92,-1.07,-8.80,-17.55,0.00,0.00,0.00
11,"Jan.  1, 2014  8:58 AM ET",SPH,ModernGraham Valuation Of Suburban Propane Partners LP,NA,4.00,2660152000.00,2.00,3358.00,41.73,42.10,40.96,38.84,1837.49,1782.59,1885.52,0.89,-1.85,-6.93,0.30,-2.70,2.92,0.59,0.85,-9.85,0.00,0.00,0.00
12,"Jan.  1, 2014  8:11 AM ET",AMZN,Amazon&#x27;s PR Genius,NA,4.00,172091000000.00,2.00,402.00,397.97,397.66,358.69,342.99,1837.49,1782.59,1885.52,-0.08,-9.87,-13.82,0.30,-2.70,2.92,-0.38,-7.17,-16.74,0.00,0.00,0.00
13,"Jan.  1, 2014  7:58 AM ET",KLIC,Kulicke And Soffa Industries: 3 Different Insiders Have Sold Shares During The Last 30 Days,NA,4.00,1236401239.00,2.00,3828.00,13.05,12.60,11.64,12.62,1837.49,1782.59,1885.52,-3.45,-10.80,-3.30,0.30,-2.70,2.92,-3.75,-8.11,-6.22,0.00,0.00,0.00
14,"Jan.  1, 2014  7:55 AM ET",DIS,The Enduring Nature Of &#x27;Saving Mr. Banks&#x27;,NA,4.00,180902000000.00,2.00,813.00,75.31,74.44,71.70,80.55,1837.49,1782.59,1885.52,-1.16,-4.79,6.96,0.30,-2.70,2.92,-1.46,-2.10,4.04,0.00,0.00,0.00
15,"Jan.  1, 2014  7:52 AM ET",RGLD,Royal Gold Offers Deep Value And Low-Risk Leverage To The Gold Price,NA,4.00,4017131163.00,2.00,2329.00,48.41,50.28,55.23,62.33,1837.49,1782.59,1885.52,3.86,14.09,28.75,0.30,-2.70,2.92,3.56,16.78,25.83,0.00,1.00,1.00
16,"Jan.  1, 2014  7:41 AM ET",NOK,Microsoft Windows Lies Between Scylla And Charybdis,NA,4.00,339473000000.00,2.00,1103.00,7.45,7.68,6.50,7.09,1837.49,1782.59,1885.52,3.09,-12.75,-4.83,0.30,-2.70,2.92,2.79,-10.06,-7.75,0.00,0.00,0.00
17,"Jan.  1, 2014  6:54 AM ET",GDX,Barrick Gold In 2014: At The Bottom With A Bear,NA,4.00,12345497845.00,2.00,27.00,21.89,21.87,23.33,23.54,1837.49,1782.59,1885.52,-0.09,6.58,7.54,0.30,-2.70,2.92,-0.39,9.27,4.62,0.00,1.00,0.00
18,"Jan.  1, 2014  6:20 AM ET",SIEGY,Siemens: Safe Dividend Boosted By $5.5 Billion Share Buyback Program,NA,4.00,91596426315.00,2.00,414.00,127.26,125.96,122.13,131.11,1837.49,1782.59,1885.52,-1.02,-4.03,3.03,0.30,-2.70,2.92,-1.32,-1.34,0.10,0.00,0.00,0.00
19,"Jan.  1, 2014  6:20 AM ET",AMZN,Short Netflix On Amazon Prime Success,NA,4.00,26522359149.00,2.00,175.00,397.97,397.66,358.69,342.99,1837.49,1782.59,1885.52,-0.08,-9.87,-13.82,0.30,-2.70,2.92,-0.38,-7.17,-16.74,0.00,0.00,0.00
20,"Jan.  1, 2014  5:17 AM ET",BA,"Boeing: 50% Dividend Hike Good, Buybacks Destroy 30% Of Shareholder Value",NA,4.00,106764000000.00,2.00,5925.00,132.73,137.81,121.65,125.22,1837.49,1782.59,1885.52,3.83,-8.35,-5.66,0.30,-2.70,2.92,3.53,-5.65,-8.58,0.00,0.00,0.00
